ドイツ語例文,日本語訳
Wir müssen ihre Forschungsergebnisse unter die Lupe nehmen.,私たちは彼女の研究成果を入念に調べなければならない。
"Ich habe keine Lust, ins Kino zu gehen.",私は映画に行きたくない。
Hier darf man nach Lust und Laune essen und trinken.,ここでは好きなだけ飲み食いして構わない。
Er kam mit 28 Jahren an die Macht.,彼は28歳で権力の座に就いた。
Er ist erst seit einem halben Jahr an der Macht.,彼が政権の座に就いてからまだ半年しか経っていない。
Mit einem Mal fing es an zu regnen.,突然雨が降り出した。
Das Kind hat von Mal zu Mal Fortschritte gemacht.,回を重ねるごとにその子供は上達した。
"Ich trinke jeden Tag Bier, aber in Maßen.",私は毎日、しかし適度にビールを飲んでいる。
Er misst oft mit zweierlei Maß.,彼はしばしば不公平だ。
"Die meisten Leute haben mehr oder weniger gemerkt, dass er lügt.",たいていの人々は彼が嘘をついていることに多少気づいていた。
Die Preise steigen mehr und mehr.,物価はますます上昇していく。
Nach Meiner Meinugn ist er ein tüchtiger Mann./Meiner Meinung nach ist die Energiewende die Rettung der Menschheit.[*die Energiewende: エネルギー政策の転換],私の見るところでは、彼は有能な男だ。/私はエネルギー政策の転換は人類を救出すると考えます。
"Ich bin der Meinung, dass sie eine fähige Frau ist.",かのじょは有能な女性だと思う。
Sie sprechen am meisten.,彼女が一番よくしゃべった。
Diese Aufgabe ist nicht im Mindesten schwierig.,この問題は少しも難しくない。
Er hätte sie mindestens anrufen können.,彼は少なくとも彼女に電話をかけることぐらいできたのに。
Er kam in letzter Minute.,彼は時間ギリギリにやってきた。
Der Eingang des Parks wird auf die Minute geschlossen.,公園の入り口は時間きっかりに閉められる。
Damals war der Folksong gerade in Mode gekommen.,当時フォークソングがちょうど流行し始めていた。
Das ist schon aus der Mode.,それはもう時代遅れだ。
Er kann jeden Moment zurückkommen.,彼は今すぐにも帰ってくるかもしれない。
Im Moment habe ich keine Zeit.,今の所私には時間がない。
Du lebst auf dem Mond.,君は浮世離れしている。
"Sie wurde nicht müde, immer wieder von der letzten Reise zu erzählen.",彼女は飽きもせずにこの前の旅行について繰り返し話しをした。
"Er gab sich Mühe, deutlich zu sprechen.",彼ははっきりした口調で話すよう努力した。
"Es ist nicht der Mühe wert, ihn nochmals anzurufen.",彼にもう一度電話をするなんて無駄なことだ。
In so einer gefährlichen Situation sollte man sicherheitshalber den Mund halten.,そのような危険な状況では用心のために黙っている方がよいでしょう。
Die Sache ist schon in aller Munde.,そのことはすでにみんなの噂になっている。
Die Landschaft hier ist nach wie vor wunderbar.,ここの景色は相変わらずすばらしい。
Es wird nach und nach dunkel.,次第に暗くなる。
Er wurde über Nacht Millionär.,彼は一夜にして大金持ちになった。
Der Dieb ist bei Nacht und Nebel in die Wohnung eingestiegen.,泥棒は夜陰に乗じてその住居に忍び込んだ。
"Ich war nahe daran, einen Vertrag zu unterzeichnen.",私はもう少しで契約書にサインをするところだった。
Im Namen der Universität begrüße ich Sie sehr herzlich.,大学を代表してみなさまを心から歓迎します。
Der Schriftsteller hat sich über Nacht einen Namen gemacht.,その作家は一夜にして有名になった。
Er steck seine Nase in alles.,彼は何にでも首を突っ込む。
Sie ist von Natur aus schüchtern.,彼女は生来内気だ。
Er nahm die schwere Arbeit auf sich.,彼はその困難な仕事を引き受けた。
Ihre Stimme fällt mir auf die Nerven.,彼女の声は私の神経にこたえる。
Sie hat mich mitten in der Nacht angerufen. Sie hat Nerven!,彼女は真夜中に電話をかけてきた。無神経な人だ。
von Neuem .Er begann aufs Neue über den Vorgesetzten zu murren. [*über...4 murren: ...4についてぶつぶつ不平を言う],彼はまたもや上司のことをぼやき始めた。
Das ist mir ganz neu.,これは私には初耳だ。
Mach dir nichts aus dem Gerede!,そんなうわさなんか気にするな！
Sie nahm von dem Ereignis kaum Notiz.,彼女はこの出来事をほとんど気に留めなかった。
"Er hat kein Recht, uns von oben herab anzusehen.",彼には私たちは見下す資格なんかない。
Während des Unterrichtes waren die Studenten ganz Ohr.,授業中、学生たちは熱心に聞いていた。
Der Ehalt der Bauernhofe liegt im Interesse der Allgemeinheit.,農場の維持は公共の利益になります。
Viele Leute fielen einem Attentat zum Opfer.,多くの人々が政治テロの犠牲になった。
Mit meinem PC ist etwas nicht in Ordnung.,私のパソコンはどこか調子が悪い。
"Es ist unmöglich, alle Angelegeneheiten bis morgen in Ordnung zu bringen.",すべての用件を明日までに処理することは不可能だ。
Nach ein paar Tagen habe ich meine Heimat verlassen. [ein paarは不変化、Tagのみnachに応じて変化する],二、三日たって私は故郷を後にした。
Der Minister nahm für Umweltschutz Partei.,大臣は環境保護の立場を支持した。
Er hat im Spiel Pech gehabt.,彼はゲームに負けた。
Er ist die Dummheit in Person.,彼は馬鹿そのものだ。
Die Wirtin in Person hat uns am Bahnhof abgeholt. [...4 am/vom Bahnhof abholen: ...4を駅へ迎えに行く],女将自ら私たちを駅に出迎えてくれた。
Ich für meine Person schätz das Ergebnis gar nicht.,私自身はこの結果をまったく評価していない。
Wir haben drei ganze Jahre wie ein Pferd gearbeitet.,わたしたちは丸3年馬車馬のように働いた。
Er pflegt an seinen freien Tagen zum Golf zu gehen.,彼は休日にゴルフに出かけるのを習慣にしている。
Eine Deutschlandreise steht auf dem Plan.,ドイツ旅行が計画されている。
Ich muss um jeden Preis die Prüfung bestehen.,私は是が非でもこの試験に合格せねばならない。
Diese Gelegenheit darf man um keinen Preis verpassen.,この機会は決して逃してはならない。
Im Prinzip habe ich nichts dagegen.,原則的には私はそれに何の反対もない。
Im Rahmen des Möglichen werden wir dich unterstützen. [*des Möglichen：形容詞möglichを名詞的に用いたdas Möglicheの2格],可能な範囲で私たちは君を援助するつもりだ。
In einem solchen Fall zieht man am besten einen Fachmann zu Rate.,このような場合、専門家の意見を聞くのが一番よい。
Wir müssen mit dem Schlimmsten rechnen. [*Schlimmsten：形容詞schlimmの最上級schlimmstの名詞的用法],我々は最悪の事態を覚悟せねばならない。
Du hast recht.,君の言う通りだ。
Alle Abgeordneten gaben dem Minister recht.,議員たちはみんなその大臣に賛成した。
"Es ist nur recht und billig, dass er entlassen wurde.",彼が解雇されたのは極めて当然のことだ。
Der Vater ärgerte sich mit Recht darüber.,父がそのことで怒ったのは当然だ。
Die Anwohner haben sich zu Recht über den Lärm der Bauarbeiten beklagt.,近隣住民が建設工事の騒音のことで苦情を言ったのはもっともだ。
Die Anwohner haben sich zu Recht über den Lärm der Bauarbeiten beklagt.,近隣住民が建設工事の騒音のことで苦情を言ったのはもっともだ。
"Von wem ist die Rede, wenn ich fragen darf?",誰のことが話題になっているのですか、もしお尋ねしてよければ。
Davon kann keine Rede sein.,それは話にならない。
Das Oktoberfest dauert in der Regel 16 Tage und endet am ersten Sonntag im Oktober.,オクトーバーフェスとはふつう16日間続き10月の最初の日曜日に終わる。
Er mmusste alle Gäste der Reihe nach begrüßen.,彼はすべてのゲストに順々に挨拶せねばならなかった。
Wann komme ich an die Reihe?,いつになったら私の番が回ってくるのですか？
Ich werde nächsten Sommer für ein paar Wochen auf Reisen gehen. [*für ein paar Wochen],私は今度の夏数週間の予定で旅に出る。
Gestern machte sie sich wieder auf die Reise.,昨日彼女はふたたび旅立った。
Geld spielt bei ihm gar keine Rolle. [*keine Rolle spielen：役割を演じない（否定する場合）],彼はお金のことなど全然問題にしていない。
Schon lange kehrt er mir den Rücken.,もう長い間彼は私にそっぽを向いている。
Er nimmt immer viel Rücksicht auf seine Mitmenschen.,彼は仲間にいつも十分な配慮をしている。
Sie will mit Rücksicht auf ihre Gesundheit an der Reise nicht teilnehmen.,彼女は健康状態を考えて旅行には参加しないつもりだ。
Wollen wir gleich zur Sache kommen!,すぐに本題に入ることにしよう。
Das tut nichts zur Sache.,それは関係ない。
Unser Projekt ist leider in eine Sackgasse geraten.,我々のプロジェクトは残念ながら行き詰まってしまった。
Haben Sie daszu etwas zu sagen.,これに対し何かおっしゃりたいことがありますか？
Ich habe deine Ausreden satt.,君の言い訳にはうんざりだ。
Durch das Kohlendioxid nimmt die Umwelt großen Schaden.,二酸化炭素によって環境は大きな被害を受けている。
Die Kälte machte ihnen zu schaffen.,寒さが彼らを苦しめた。
Er scheint der richtige Mann dafür zu sein.,彼はそれにうってつけの男のようだ。
Vor dem bekannten Restaurant muss man immer Schlange stehen.,その有名なレストランの前ではいつも行列しなければならない。
Neulich hat mein Mann mit dem Rauchen Schluss gemacht.,最近私の夫はタバコをやめた。
"Zum Schluss möchte ich Ihnen ""Vielen Dank!"" sagen.",最後にみなさまに「どうもありがとう！」と言わせていただきます。
Sein Englisch wird Schritt für Schritt besser.,彼の英語は徐々によくなっていく。
Ich kann mit ihm nicht Schritt halten.,彼とは歩調が合わない。
Ich habe an allem Schuld.,すべては私のせいだ。
Sie zeigt mir neuerdings die kalte Schulter.,彼女は最近私を冷たくあしらう。
Ich werde ihn mit alle Kraft in Schutz nehmen. [*mit aller Kraft: 全力で],私は彼を全力で弁護するつもりだ。
Den Zustand des Patienten darf man nicht auf die leichte Schulter nehmen.,患者の容体を軽く考えてはいけない。
Darf ich Ihre Erlaubnis schwarz auf weiß habne?,あなたの許可を文書でいただけますか？
Sie haben es schwer. [*esは形式目的語],彼らは苦労している。
Die politische Organisation geriet finanziell in Schwierigkeiten.,その政治団体は資金の面で困難に陥った。
Ich bin meines Erfolgs sicher.,私は成功を確信している。
Er hat immer nichts Gutes im Sinn.,彼はいつもよからぬことを企んでいる。
Seine Ratschläge waren mir völlig aus dem Sinn gekommen.,彼の忠告を私はすっかり忘れてしまっていた。
"Es regnete so stark, dass die Kinder zu Hause bleiben mussten.",雨があまりに激しかったので、子供達は家にいなければならなかった。
"Das Kind hatte plötzlich hohes Fieber bekommen, so dass es nicht kommen konnte.",その子供は突然発熱したので来ることができなかった。
Er lief so schnell wie möglich.,彼はできるだけ速く走った。
Ich mache mir Sorgen um die Zukunft der Kinder.,私は子供達の将来が心配だ。
Sie spricht sowohl Englisch als auch Deutsch.,彼女は英語もドイツ語も話す。
Er hat alles aufs Spiel gesetzt.,彼は全てを賭けた。
Sie haben auf dem Rückweg nach Frankfurt in Köln Station gemacht.,彼らはフランクフルトへ帰る途中ケルンに立ち寄った。
An Stelle der Milch gab es zum Frühstück Orangensaft.,牛乳のかわりにオレンジジュースが朝食に出た。
An deiner Stelle würde ich das Geld sofort zurückzahlen.,私が君の立場だったらそのお金をすぐに返済するだろうに。
Viele nahmen gegen den Vorschlag Stellung.,多くの人々がその提案に反対の態度をとった。
Der Patient liegt im Sterben.,その患者は死に瀕している。
Sie hat ihre Freundin im Stich gelassen.,彼女は友人を見捨てた。
Sein Alibi ist nicht stichhaltig. [*das Alibi[アーリビ]: アリバイ],彼のアリバイは根拠が十分でない。
Die Gäste waren alle in Stimmung.,ゲストはみんな上機嫌だった。
Die Eltern sind stolz auf ihren fleißigen Sohn.,両親は勤勉な息子のことを誇りにしている。
Beim Widersehen haben sie sich auf offener Straße umarmt.,再開して彼らは公衆の面前で抱き合った。
"Es war damals unmöglich, gegen den Strom zu schwimmen.",当時は大勢に逆らうことは不可能だった。
Sie kamen Stück für Stück weiter. [*weter/kommen: 先へ進む（s）,彼らは一歩ずつ進んだ。
Es wird von Tag zu Tag wärmer.,日一日と暖かくなる。
Es regnete Tag für Tag.,来る日も来る日も雨だった。
Wir arbeiten Tag und Nacht.,私たちは昼夜働いた。
Das Kind rechnete in der Tat gut.,その子は本当に計算が上手だった。
Zum Teil kann ich dem Vorschlag zustimmen.,部分的には私はその提案に賛成できる。
Es geht ihm ein gut Teil besser.,彼の容体はずっとよくなった。
"Während der Reise hatten wir teils Sonnenschein, teils Regen.",旅行中は晴天に恵まれたり雨にたたられたりだった。
Er hat das Problem unter den Teppich gekehrt.,彼はその問題を闇に葬った。
Sie war über die Nachricht zu Tode erschrocken. [*über...4 erschrecken: ...4に驚く(s)],彼女はその知らせにひどく驚いていた。
Ich will mit diesem Mann nichts zu tun haben.,私はこの男とは関わりを持ちたくない。
Ich habe damit viel zu tun.,この件とは大いにかかわりがある。
Das ist überhaupt nicht möglich.,そんなことは全く不可能だ。
Sie hat für Baseball viel übrig.,彼女は野球に大変関心を持っている。
"Ich habe zwar ab und zu Schmerzen im Kreuz, aber im Übrigen geht es mir recht gut.",私は時々腰が痛むがそれ以外はかなり調子が良い。
Um den Park herum stehen hohe Bäume.,公園の周囲には高い木が立っている。
Unter keinen Umständen dürfen die Pläne nach außen sickern.,どんなことがあってもこの計画が外部に漏れてはならない。
Unter keinen Umständen dürfen die Pläne nach außen sickern.,どんなことがあってもこの計画が外部に漏れてはならない。
Unter Umständen kann sie an der Party nicht teilnehmen.,場合によっては彼女はパーティーに出席できないかもしれない。
"Die Gäste kommen übermorgen, und zwar um 7 Uhr abends.",ゲストは明後日、詳しく言えば晩の7時にやってくる。
Er wurde zu Unrecht bestraft.,彼は不当に処罰された。
Im Unterschied zu seinem Vater ist er ein vernünftiger Mann.,父親とは違って彼は分別のある男だ。
Ohne Unterschied des Geschlechts können alle Schüler an dem Fußballturnier teilnehmen.,性別のいかんを問わず、生徒はサッカーのトーナメントに参加できる。
Ich werde mich sofort mit meinem Chef in Verbindung setzen.,すぐに部長と連絡を取るつもりです。
Meinen Wagen stelle ich Ihnen jederzeit zur Verfügung.,私の車はいつでも自由にお使いください。
Mein Wagen steht Ihnen jederzeit zur Verfügung.,私の車をいつでも自由にお使いください。
Wie viele Flugzeuge hat die Firma zur Verfügung?,会社が自由に使える飛行機は何機ありますか？
Im Vergleich mit mir kann mein Bruder viel schneller laufen.,私と比べると兄はずっと速く走ることができる。
Das bereitet mir Vergnügen.,それをするのが私は楽しい。
Die unerwartete Frage hat den Lehrer in Verlegenheit gebracht.,その予期せぬ質問が先生を困らせた。
Meine Monatskarte ist verloren gegangen.,私の定期券がなくなってしまった。
Seine Worte haben mich zur Vernungt gebracht.,彼の言葉が私を正気に返らせた。
Im Vertrauen auf sein Talent habe ich ihn eingestellt.,彼の才能をあてにして私は彼を採用した。
Ihr plötzlicher Besuch brachte ihn völlig in Verwirrung.,彼女の突然の訪問は彼をすっかり狼狽させた。
Er bummelte in der Stadt vor sich hin.,彼は当てもなく街をぶらついた。
Für Ihre Mühe danke ich Ihnen im Voraus.,I thank you in advance for your effort.
Draußen standen einige Männer Wache.,外では何人かの男たちが見張りに立っていた。
Mit diesen Leuten kann ich nicht warm werden.,このような人たちとは私は気が合わない。
Was für ein Auto hast du gekauft? [*日常語ではwasとfür einが離れることもある。したがってWas hast du für ein Auto gekauftも可],君はどんな車を買ったんだい？
Unsere Reise nach Deutschland ist leider ins Wasser gefallen.,私たちのドイツ旅行は残念ながらだめになった。
Sie spricht weder Englisch noch Deutsch.,彼女は英語もドイツ語も話せない。
Nach diesem Streit geht er mir aus dem Weg.,あの喧嘩以来、彼は私を避けている。
Er geht stets seinen Weg.,彼は常に我が道を行く。
"Es dauerte eine Weile, bis die Kinder zurückkamen. [*Es dauerte... bis...: ...するまで時間がかかる、非人称esとbisの副文によるよく用いられる構文]",子供達が帰ってくるまで、しばらくかかった。
Die Kinder kamen nach einer Weile wieder zurück.,子供達はしばらくしてからまた戻ってきた。
Das Buch eignet sich in keiner Weise als Geschenk.,この本はプレゼントとしてまったくふさわしくない。
Du sagst bei Weitem schöner als sie.,君は彼女よりはるかに美しく歌った。
Weit und breit war niemand zu sehen.,見渡す限り人っ子ひとり見えなかった。
Er hat es weit gebracht.,彼は成功した。
Dieses Medikament bekommt man ohne Weiteres fast in jedem Geschäft.,この薬は簡単にほとんどどこの店でも手にはいる。
Was in aller Welt denkst du? [*疑問視の直後に置いて強調として用いる],君はいった何を考えているんだい？
Im Jahre 1749 kam Goethe zur Welt.,1749年にゲーテが生まれた。
Ich bin ein wenig müde.,私は少し疲れている。
Sie waren schon am Werk.,彼らはもう仕事に取りかかっていた。
Nun wollen wir uns gleich ans Werk machen.,さあすぐに仕事に取り掛かろう。
Der neue Plan ist schwer ins Werk zu setzen.,その新しいプランは実行に移すのが難しい。
Der Chef legt großen Wert auf Ordnung.,部長は整理整頓を大いに重んじている。
Der Student macht immer wieder den gleichen Fehler.,その学生は何度も何度も同じ間違いを繰り返す。
Ich möchte ihn nie wieder sehen.,彼には二度と会いたくない。
Er hat Wind davon bekommen.,彼はそれを嗅ぎつけた。
Er hat unsere Ratschläge in den Wind geschlagen.,彼は我々の助言を受け付けなかった。
"In Wirklichkeit gibt es keinen Beweis, dass er es gestohlen hat.",実際のところ彼が盗んだという証拠はどこにもない。
Davon will ich nichts mehr wissen.,私はもうそのことに関わりたくない。
Meines Wissens kandidiert er nicht als Prädient. [als... kandidieren: ...として立候補する],私の知る限り彼は大統領に立候補しない。
Sie hat jede Frage nach bestem Wissen und Gewissen beantwortet.,彼女はどの質問にも誠心誠意答えた。
Wohl oder übel musst du es tun.,君は否でも応でもそうしなければならない。
"Als er die Nachricht erfuhr, fiel er aus allen Wolken.",この知らせを聞いた時、彼はびっくり仰天した。
Der Vorsitzende verbot uns das Wort.,議長は私たちに発言を禁じた。
Ich lasse mir von dir nicht den Mund verbieten!,君に僕の口を封じさせはしない。
Fühlen wir ihm einmal auf den Zahn?,一度あいつの腹を探ってみよう。
Sie hat ihm den Zahn gezogen.,彼女が彼の甘い期待を打ち砕いた。
Beiß die Zähne zusammen!,歯を食いしばれ！
"Hast du Zeit, mit mir ins Kino zu gehen?",映画に行く時間ある？
"Sie ist zu jung, als dass sie heiraten könnte.",彼女は結婚するには若すぎる。
Durch Zufall haben wir uns kennengelernt.,偶然に私たちは知り合った。
Man kann ihn schwer zufriedenstellen.,彼を満足させるのは難しい。
Er hat seinen Eltern monatlich Geld zukommen lassen.,彼は毎月両親に仕送りした。
In Zukunft werde ich fleißiger sein.,今後はもっと勤勉になります。
Was habe ich ihr zuleide getan?,私が彼女に何をしたというのか？
Alle Leute und nicht zuletzt die Kinder haben den Star gern. [*...4 gernhaben: ...4が好きである],全ての人々が、とりわけ子供達がこのタレントが好きだ。
Der Taifun hat die ganze Ernte zunichtegemacht.,台風がすべての収穫をだめにしてしまった。
Unsere Hoffnungen wurden zunichte.,私たちの希望は打ち砕かれた。
Zurzeit bin ich sehr beschäftigt.,今の所私は大変忙しい。
Mit der Zeit erkaltete seine Liebe zu ihr.,彼女に対する彼の愛は時とともに冷めてしまった。
Von Zeit zu Zeit treffe ich ihn in der Stadt.,ときおり町で彼を見かけることがある。
Im Zusammenhang mit diesen Verbrechen wurden zwei Männer festgenommen.,この事件との関連で男が二人逮捕された。
Wir konnten endlich den Vertrag zustande bringen.,私たちはようやく契約を成立させることができた。
Die Verhandlung ist endlich zustande gekommen.,交渉がようやくまとまった。
Sein Talent wurde relativ spät zutage gebracht.,彼の才能はだいぶ後になってから明らかになった。
Dieses Buch eignet sich sehr gut als Geschenk für ihn.,この本は彼へのプレゼントとしてとてもふさわしい。
Sie haben auf dem Rückweg nach Frankfurt in Köln Station gemacht.,彼らはフランクフルトに戻る途中、ケルンに立ち寄った。
