日本語	英語
日本の産業は今後も世界での競争力を保てるだろうか？	Will Japanese industries be able to remain competitive in the world?
異文化をまねることにかけては、日本はどこにも負けない。	When it comes to imitating other cultures, Japan is second to none.
人間は猿に似ている。それは、私たちが同じ祖先から進化したことを暗示しているのだろうか？	Humans resemble apes. Does that imply we have evolved from the same ancestor?
ほとんどの牛は、餌に穀物が与えられる。	Most cattle are fed on grain.
彼は独創的な遺伝子組み換え技術を開発した。	He developed a unique technique for modifying genes.
すべての生物はDNAと呼ばれる物質を含む細胞で構成されている。	All living things are composed of cells that contain a substance called DNA.
この薬はかなりの人気がある。特に、アメリカでは。	This drug is pretty popular, especially in the U.S.
気分転換に散歩でもどう？	Do you feel like going out for a walk for a change?
この薬で筋肉痛はすぐに和らぎます。	This medicine will relieve your muscle pain in no time.
残念ながら、彼の癌は完全に治すことはできない。	Unfortunately, his cancer cannot be cured.
その医師は患者の自殺に手を貸した。	The physician assisted his patient in committing suicide.
「誰も、私から尊厳を奪い取ることはできない」と。彼は語気を強めて言った。	"Nobody can rob me of my dignity!"He exclaimed.
犯罪を犯す者は誰であろうと厳しく処罰されなければならないと、彼は強く主張している。	He insists that whoever commits a crime must be strictly punished.
近いうちに、その事件は完全に解決するだろう。	Before long, the case will be settled once and for all.
近ごろは、大企業の名前がつけられた競技場もある。	These days, stadiums are sometimes named after corporations.
彼は追加の仕事を引き受けるのは気が進まなかった。	He was reluctant to take on extra duties.
適者生存の時代に入った。	We have entered an era in which only the fittest can survive.
リサは一生懸命働いていた。その間、ボブはうろうろしているだけだった。	Lisa was hard at work. Meanwhile, Bob was just hanging around.
彼の事務所はその地味な5階建てのビルの3階にある。	His office is located on the third floor of the plain, five-story building.
この決まりきった仕事にはいらいらする。私の貴重な時間を奪ってしまうから。	This routine is annoying because it takes up my precious time.
彼はとても身勝手だから、負担を分け合おうとしない。	He is too selfish to share any burden.
彼を駆り立てているものが富への欲望であることは明らかだ。	It is obvious that he is driven by a desire for wealth.
差別は禁止されているが、ある程度は現に存在する。	Although discrimination is prohibited, it does exist to some degree.
男性が支配的な職業はいまだに存在する。	Some occupations are still dominated by males.
いつも通り、彼は食事の休憩の後に眠ってしまった。	As usual, he fell asleep after the meal break.
怠惰な同僚たちに対して、私はいら立ち以外の何も感じない。	I feel nothing but frustration with my lazy colleagues.
あなたと一緒に本事業に取り込めることを楽しみにしております。敬具	We are looking forward to working on the project with you. Sincerely,
品質の向上を通して、我々はお客様に更なる貢献ができる。	We can better serve our customers by improving quality.
この機械にはさまざまな機能がある。そして、日本国内だけでなく海外でも使える。	This machine has various functions, and you can also use it overseas as well as in Japan.
これは文句なしに最も高率的なデータの送信方法だ。	This is by far the most efficient way of transferring data.
この設備の操作方法は知っているけれど、修理はできない。	I know how to operate this equipment but I can't fix it.
いったんそれを分解したら、元に戻すことはできない。	Once you take it apart, you can't put it together again.
何か不具合が生じた場合は、無料で修理してもらいます。	If something goes wrong with it, you can have it repaired free of charge.
これらの製品は大規模に製造されている。	These products are manufactured on a large scale.
大多数の人々が、生活の糧となるものをほとんど持たずに定年退職を迎える。	The vast majority of people retire with little to live on.
従業員たちは奴隷のように働くことを強いられてきた。	The employees have been forced to work like slaves.
私共は高齢者の方々に幅広い活動を提供しております。	We provide a wide range of activities for senior citizens.
あなたの運命はあなた自身が決めるもの。結局は、あなた次第です。	You determine your own destiny. After all, it's up to you.
彼は自分の行動の結果をきちんと認識できるほど大人ではない。	He is not mature enough to appreciate the consequences of his actions.
私たちはいじめの背後にある動機を調べる必要がある。	We need to examine the motives behind bullying.
彼はその複雑な問題に対する穏便な対処法を提案した。	He suggested a moderate approach to the complicated issues.
「この現象をどう解釈しますか？」 / 「よくわかりません。」	"How do you interpret this phenomenon?" / "I have no idea."
当局は必死になって犠牲者の身元確認をしている。	The authorities are desperate to identify the victims.
彼らは勇敢な兵士たちの霊に祈りをささげた。	They prayed for the souls of the brave soldiers.
その洪水によって作物が全滅した。	The crops were completely destroyed by the flood.
その大陸では、多くの人々が飢えで命を失っている。	On the continent, a large number of people are dying of hunger.
その帝国は部族を次々に征服して自国の領土を拡張した。	The empire expanded its territory by conquering one tribe after another.
一連の攻撃の末に、彼らは敵を打ち負かした。	After a series of attacks, they defeated the enemy.
数十年の戦いの末、その植民地は独立を宣言した。	After decades of struggle, the colony declared independence.
その国は新しい民主的な憲法を採択した。	The country adopted a new democratic constitution.
首都で暴動が発生し、またたく間に地方へ広がった。	A riot broke out in the capital and rapidly spread to rural areas.
私たちは彼らの要求に屈するしかない。	We have no choice but to give in to their demands.
社会の秩序を取り戻すには規律が非常に重要である。	Discipline is of great importance in restoring social order.
道徳的な価値観は、その人の態度に現れる。	Your moral values are reflected in your attitude.
統計学は数学の一部門である。	Statistics is a branch of mathematics.
とりわけ、この分析は徹底的かつ客観的なものでなければならない。	Above all, this analysis must be thorough and objective.
掲示板に常に注意しているように。正確な数字が入手でき次第提示します。	Keep an eye on our bulletin board. We'll post the exact figures as they become available.
慌てるな。すべてを台無しにするぞ。	Don't rush. You'll spoil everything.
結論を出す前に、あらゆる要因を考慮しなければいけない。	We must take every factor into account before coming to a conclusion.
彼らは直接顔を合わせて和平の展望について話し合った。	They met face to face to discuss the prospects for peace.
ある程度はあなたと同じ意見です。	I agree with you to a certain extent.
私たちはこれからの事柄を同時に処理しなければならない。	We need to handle these matters at the same time.
僕は田舎育ちだから、都会生活がどんなものなのか想像できない。	I've been brought up in the country and can't imagine what urban life is like.
育った環境や物の好みなどの点で、彼らはとてもよく似ている。	They are very much alike in background, tastes, and so on.
グラミー賞授賞式は衛星生中継されます。	The Grammy Awards ceremony is broadcast live via satellite.
彼は若い世代にものすごい影響を与えている。	He has an extraordinary influence on the younger generation.
自由と平等は性別に関係なく全ての人に約束されている。	Freedom and equality are guaranteed to everyone regardless of sex.
どんなにくだらないことと思われようと、私は最善を尽くします。	No matter how silly it seems to you, I'll do my best.
彼は初めて南極探検に成功した。	He succeeded in exploring the Antarctic for the first time.
あなたの勇気と熱意には感心します。	I admire your courage and enthusiasm.
先見の明や戦略がなければ、何事も成し遂げることはできない。	Without a vision or a strategy, nothing can be accomplished.
彼の勝利を祝うためにたくさんの人が集まった。	Dozens of people gathered to celebrate his victory.
「うまくいったよ。」 / 「おめでとう。」 / 「ありがとう。本当に君のおかげだよ。」	"I made it!" / "Congratulations!" / "Thanks. I owe you a lot."
「ボブ、今日はこの辺までにしましょう。お腹がぺこぺこ。」 / 「ああ。晩飯は僕がおごるよ。」	"Let's call it a day. Bob. I'm starved." / "Yep. I'll buy you dinner."
